year,n,k,occ,words,rate,lo,hi,per_100k_words
1916,1575,78,86,3110467,0.049523809523809526,0.039861926401633836,0.061377868648103906,2.7648581386653515
1917,1519,87,97,3014907,0.05727452271231073,0.04666721008484726,0.07011552030549668,3.217346339372989
1918,1415,89,92,2494974,0.06289752650176679,0.05139289819385476,0.0767691179184442,3.6874131754479205
1919,1416,76,82,2667016,0.05367231638418079,0.04309506967026883,0.06666477959742413,3.0745972277631632
1920,1281,53,56,2522325,0.04137392661982826,0.031769410606219524,0.053720972021491155,2.2201738475414547
1921,1402,63,73,2653704,0.0449358059914408,0.03527885152994173,0.05707977550172386,2.7508719887372517
1922,1495,67,75,2727357,0.044816053511705686,0.03544331463534406,0.056522107194421,2.7499150276256463
1923,1599,66,71,2827619,0.04127579737335835,0.03257458033820592,0.052175902803733985,2.510946488901086
1924,1792,79,83,3203442,0.04408482142857143,0.035515548994621185,0.05460464868873797,2.5909630953205958
1925,1959,88,93,3399821,0.04492087799897907,0.03660494573368266,0.05501813786104043,2.7354381304192192
1926,2003,109,123,3772031,0.054418372441337994,0.04530994192906722,0.06523271375437088,3.260842766138454
1927,1840,89,95,3395634,0.0483695652173913,0.039472451853870875,0.059148601060869735,2.7977102361444137
1928,1890,97,104,3460789,0.051322751322751325,0.04225330371647915,0.06221245519387533,3.005095080919409
1929,1901,122,132,3436072,0.06417674907943188,0.054015088947888444,0.07609630719129712,3.841595868771085
1930,2009,115,125,3819537,0.057242409158785465,0.04790361692456358,0.0682712475059013,3.272647967541616
1931,2234,133,146,4360516,0.05953446732318711,0.05045761973350411,0.07012356885464262,3.3482275950827836
1932,2186,137,153,4583539,0.0626715462031107,0.053258280438016135,0.07361920695650594,3.338032031580837
1933,2357,154,172,4768111,0.06533729316928298,0.056051003217820625,0.07603816362844298,3.6072985716985198
1934,2257,157,171,4760242,0.06956136464333186,0.059780344328059974,0.08080517922210827,3.5922543433716183
1935,2257,136,167,4758335,0.06025697828976517,0.05116666570816117,0.07084170497999319,3.5096309948753084
1936,2177,163,182,4694473,0.07487367937528709,0.06455108929782775,0.0866940080077262,3.8768994943628394
1937,2246,179,202,4921959,0.07969723953695458,0.06920096383737136,0.09162884747023355,4.104056941555181
1938,2308,240,270,5129307,0.10398613518197573,0.09218389013781086,0.11710449709425556,5.263868978791872
